NAME,MODEL,DATE,EPOCH,EPSILON,AVERAGE LOSS,AVERAGE RETURN,PATH
2022917410x1125,dqn_10x11,2022-09-17 05:20:36.348259,11,0.4448289486643231,29.84012985229492,31.830625534057617,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 05:24:25.756997,12,0.4172250388671733,27.35637855529785,32.521873474121094,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 05:28:17.322460,13,0.3913340927572502,26.546459197998047,32.93312454223633,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 05:32:13.556048,14,0.3670498121827585,27.35637855529785,33.76187515258789,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 05:36:09.628343,15,0.3442724953355147,26.654449462890625,33.735626220703125,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 05:40:09.971186,16,0.3229086274141116,27.626352310180664,34.865623474121094,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 05:44:12.501750,17,0.3028704966885258,24.062707901000977,35.178749084472656,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 05:48:15.618865,18,0.2840758343898791,25.250587463378903,35.0212516784668,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 05:52:19.975047,19,0.2664474769468798,25.358577728271484,35.37812423706055,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 05:56:30.405063,20,0.24991304918222,22.226890563964844,36.671875,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 06:00:40.388607,21,0.2344046671682552,24.062707901000977,36.301876068115234,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 06:04:53.704012,22,0.2198586595220078,25.034610748291016,37.11750030517578,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 06:09:08.210170,23,0.2062153059952401,25.628551483154297,37.04499816894531,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 06:13:25.563763,24,0.1934185922863492,23.900724411010746,37.663124084472656,./weights/d10by11.h5
2022917410x1125,dqn_10x11,2022-09-17 06:17:45.049530,25,0.1814159800674375,23.95471954345703,38.212501525878906,./weights/d10by11.h5
2022917712x1325,dqn_12x13,2022-09-17 07:37:16.376726,1,0.8441504000761825,32.567840576171875,26.07875061035156,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 07:40:29.287161,2,0.7917665532764211,28.72159767150879,26.45687484741211,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 07:43:48.599804,3,0.7426333919058121,27.076839447021484,27.4581241607666,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 07:47:15.424024,4,0.6965491943191375,27.396652221679688,28.043750762939453,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 07:50:51.546477,5,0.6533247567302695,25.020891189575195,28.701250076293945,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 07:54:37.583723,6,0.6127826164150351,24.198511123657227,29.99374961853028,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 07:58:32.962994,7,0.574756323118313,25.43208122253418,30.811250686645508,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:02:38.711612,8,0.5390897556740439,24.975202560424805,31.878124237060547,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:07:01.807241,9,0.5056364810324618,24.28988647460937,33.979373931884766,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:11:36.423805,10,0.4742591530629619,20.90899658203125,34.31062316894531,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:16:20.853016,11,0.4448289486643231,22.18825340270996,35.36249923706055,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:21:11.375024,12,0.4172250388671733,19.903865814208984,36.118125915527344,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:26:11.521689,13,0.3913340927572502,20.8176212310791,37.39500045776367,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:31:16.219928,14,0.3670498121827585,20.72624397277832,37.75374984741211,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:36:30.378028,15,0.3442724953355147,20.68055725097656,38.8693733215332,./weights/d12by13.h5
